shipping_date,seller_name,buyer_name,buyer_address,buyer_city,buyer_zipcode,kode_resi
2022-01-02,EzzyMart JAKARTA,Darminto Hartono,Jl Setiabudi 186,Kota Bandung,17151,257–2022-01-01–2022-01-02–72–45
2022-01-02,GrafikaKita - Tech Official Jakarta,Betty Ang,Jl Kakap III 25,Jakarta Selatan,17260,505–2022-01-01–2022-01-02–45–87
2022-01-02,Toko Armada Satu,Bimo Pramudyo Soekarno,Jl Mutiara I 10,Jakarta Pusat,16667,214–2022-01-01–2022-01-02–47–127
2022-01-02,Proffe coffee,Basuiki Puspoputro,Jl Kb Jati C-14/54,Kota Bandung,17064,258–2022-01-01–2022-01-02–24–43
2022-01-02,House of Smith Official,Johana Poedjokerto,Jl KH Zainul Arifin 35,Jakarta Selatan,15151,203–2022-01-01–2022-01-02–121–118
2022-01-02,Deli office automative,Darmo Suwito Barwin,Jl Jelambar Ilir 2,Jakarta Pusat,15353,639–2022-01-01–2022-01-02–73–64
2022-01-02,lbagstore,Ananda Soewono,Jl Gorontalo 9,Jakarta Utara,16147,589–2022-01-01–2022-01-02–10–10
2022-01-02,SanRes,Hiramsyah Sambudhy Thaib,Jl Tmn Apsari 9 C,Kota Pasuruan,15419,51–2022-01-01–2022-01-02–111–142
2022-01-02,lbagstore,Amalia,Jl Paseban 3 C,Jakarta Barat,16456,91–2022-01-01–2022-01-02–6–10
2022-01-02,Electron,Danny Tjiu,Jl Tebet Brt I/2,Jakarta Pusat,16429,441–2022-01-01–2022-01-02–65–73
2022-01-02,Health&Beauty Solution,Bob Yanuar,Jl Percetakan Negara II 24,Jakarta Pusat,16675,48–2022-01-01–2022-01-02–53–86
2022-01-02,X-Urband Official,Ance Anggraeny,Jl Garuda Dlm I Bl B/47,Kota Bandung,16576,293–2022-01-01–2022-01-02–11–124
2022-01-02,Blueprint Indonesia,Allan Tjahja Tjao,Jl Denai 40,Sumatera Utara,15934,389–2022-01-01–2022-01-02–1–108
2022-01-03,MOJO_FASHION,Amalia,Jl Paseban 3 C,Jakarta Barat,16456,583–2022-01-02–2022-01-03–6–148
2022-01-03,officeXpres,Danny Tjiu,Jl Tebet Brt I/2,Jakarta Pusat,16429,233–2022-01-01–2022-01-03–65–96
2022-01-03,Tunas Jaya Indotama,Emily Waty Setiawan,Jl Lautze 87,Jakarta Pusat,17176,694–2022-01-01–2022-01-03–99–111
2022-01-03,Putra Jaya 88,Darminto,Jl Sukanagara 21,Kota Bandung,16297,189–2022-01-01–2022-01-03–71–13
